root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 dst 198.211.111.194
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
06:09:23.697181 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 8720:8960, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697210 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 8960:9024, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697250 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9024:9264, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697279 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9264:9328, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697317 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9328:9568, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697344 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9568:9632, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697382 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9632:9872, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697409 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9872:9936, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697461 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 9936:10176, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697489 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10176:10240, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697526 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10240:10480, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697554 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10480:10544, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697611 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10544:10784, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697650 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10784:10848, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697704 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 10848:11088, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697733 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 11088:11152, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697772 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 11152:11392, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697800 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 11392:11456, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
06:09:23.697837 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 11456:11696, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 240
06:09:23.697864 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.211.111.194.36055: Flags [P.], seq 11696:11760, ack 1, win 501, options [nop,nop,TS val 3589594427 ecr 1478113238], length 64
^C
70 packets captured
110 packets received by filter
0 packets dropped by kernel
